city,period_start,year,month,temperature,humidity,dewpoint,precipitation,windspeed,winddirection,pressure,uv_index,pm2_5,pm10,co,no2,so2,o3,european_aqi,alder_pollen,birch_pollen,grass_pollen,mugwort_pollen,olive_pollen,ragweed_pollen,pollen_score,pollution_score,weather_risk,hours_pollution_flag,asthma,copd,mold,rhinitis
London,2023-01-01,2023,1,11.647134703196347,79.67248858447489,7.9376712328767125,0.08912100456621005,15.39011415525114,193.4599315068493,1014.0570662100457,0.0,8.832146118721463,13.162054794520548,201.7625799086758,19.102751141552513,2.978321917808219,48.8711301369863,24.796803652968038,1.4869468616922792,4.1523577923451045,4.73908276996163,5.8859589765278075,0.002018144788002222,0.026242334531613447,9.7658565784748,49.118164003044136,8.21845205479452,68,-0.5850456373585678,-0.44995502248547403,,
London,2024-01-01,2024,1,11.725489526411657,79.57843806921676,8.020913023679416,0.1017304189435337,14.621322859744991,198.95298269581056,1014.1901867030965,0.0,9.985177595628416,14.136008652094718,187.74419398907105,21.79749544626594,3.3260928961748637,49.15403005464481,27.09346539162113,0.8243169398907104,2.0494990892531875,3.404474043715847,2.848998178506375,0.005373406193078325,0.015539617486338798,9.148201275045537,47.690499772313295,8.215063752276867,56,,-1.1322988568663577,,
Los Angeles,2023-01-01,2023,1,16.943150684931506,66.9736301369863,9.538538812785388,0.1119634703196347,8.563059360730593,166.725799086758,1015.1386872146119,0.0,19.158835616438356,29.00703196347032,385.95079908675797,49.2773401826484,9.41511415525114,47.98710045662101,42.8296803652968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.13270357686453,11.251509132420091,854,-0.38760708113307263,-0.9892306149752145,,
Los Angeles,2024-01-01,2024,1,17.402720856102004,66.6575591985428,9.870981329690347,0.05956284153005465,7.956193078324225,164.79758652094716,1014.724704007286,0.0,19.589389799635704,28.581147540983604,339.971766848816,45.33721539162113,10.411703096539162,42.69398907103825,42.740209471766846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.09753529143897,11.343299180327868,852,-0.35658131545050187,-0.9587913436033102,,
Mexico City,2024-01-01,2024,1,14.914650537634408,47.913978494623656,2.0365591397849463,0.00026881720430107527,7.364247311827957,212.2459677419355,1017.329569892473,0.0,16.94260752688172,24.780645161290323,556.1801075268817,38.38978494623656,28.709139784946235,50.354838709677416,39.619623655913976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.22618727598565,17.171693548387097,34,,,,1.8599622199011085
Mexico City,2024-02-01,2024,2,16.347413793103446,42.76580459770115,0.4584770114942529,0.015660919540229884,7.511206896551724,207.17959770114942,1016.542959770115,0.0,18.674712643678163,27.337787356321837,548.3936781609195,40.3007183908046,24.47902298850575,68.625,46.62931034482759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.30181992337165,18.64198275862069,31,,,-1.1967470032678207,-0.6974858324629156
Mexico City,2024-03-01,2024,3,19.468413978494624,31.786290322580644,-1.1108870967741935,0.0,8.35779569892473,206.9986559139785,1013.9108870967741,0.0,16.860887096774192,24.502150537634407,471.98521505376345,33.362500000000004,17.16008064516129,73.5,44.520161290322584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.22847222222222,21.69295698924731,1,,,-1.1967470032678207,
Mexico City,2024-04-01,2024,4,20.519583333333333,38.81666666666667,3.7636111111111115,0.013194444444444444,8.446111111111112,208.2375,1014.3993055555555,0.0,21.61486111111111,31.343055555555555,433.7611111111111,28.44638888888889,16.405277777777776,88.94305555555556,52.86944444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.41895833333332,19.423916666666667,60,,,,-0.6974858324629156
Mexico City,2024-05-01,2024,5,23.065591397849463,40.96774193548387,6.706451612903226,0.0521505376344086,6.950940860215054,197.7688172043011,1012.6252688172042,0.0,26.50040322580645,38.598118279569896,489.7540322580645,30.70577956989247,16.28548387096774,101.81182795698925,61.79838709677419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.27594086021506,18.69327956989247,136,,,-0.5523447707389941,-0.6974858324629156
Mexico City,2024-06-01,2024,6,20.49875,55.08888888888889,8.834999999999999,0.22569444444444445,8.595138888888888,199.6611111111111,1013.3277777777778,0.0,16.425833333333333,24.049305555555556,331.5763888888889,24.341250000000002,14.801944444444445,76.375,43.795833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.26162037037037,14.413249999999998,23,,,0.0920574617898323,-0.6974858324629156
Mexico City,2024-07-01,2024,7,17.105779569892473,78.69220430107526,13.001209677419354,0.44986559139784943,5.823924731182796,221.8951612903226,1018.2266129032258,0.0,22.438978494623655,32.47352150537634,475.7217741935484,36.541801075268815,22.45510752688172,60.766129032258064,50.053763440860216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.39955197132616,7.416236559139786,108,,,1.380861926847485,0.5812381937190965
Mexico City,2024-08-01,2024,8,16.98212365591398,78.2997311827957,12.784139784946236,0.3846774193548387,6.447715053763441,241.04301075268816,1019.0850806451614,0.0,21.271908602150535,30.64327956989247,492.47983870967744,35.97970430107527,21.53239247311828,57.92204301075269,46.888440860215056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.97152777777778,7.554784946236559,88,,,1.380861926847485,-0.6974858324629156
Mexico City,2024-09-01,2024,9,16.99138888888889,80.05972222222222,13.227777777777778,0.4,6.306666666666667,222.8736111111111,1015.3147222222221,0.0,18.788333333333334,27.098472222222224,497.2263888888889,37.69138888888889,21.97875,56.8375,44.82222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.93680555555555,7.020916666666666,71,,,,1.8599622199011085
Mexico City,2024-10-01,2024,10,14.959139784946236,74.04704301075269,9.852956989247312,0.1446236559139785,8.872043010752689,260.6545698924731,1019.4782258064516,0.0,17.00752688172043,25.041532258064517,530.9543010752689,34.421102150537635,21.82741935483871,55.64784946236559,38.295698924731184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.14995519713261,9.20206989247312,47,,,,0.5812381937190965
Mexico City,2024-11-01,2024,11,16.777638888888887,55.584722222222226,5.602361111111111,0.01013888888888889,5.454583333333334,186.675,1016.5877777777777,0.0,27.150277777777777,32.093333333333334,931.7319444444445,48.67041666666666,30.313333333333333,56.986111111111114,58.859722222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.82423611111113,14.564333333333334,223,,,,-0.6974858324629156
Mexico City,2024-12-01,2024,12,15.337096774193547,53.831989247311824,4.119086021505376,0.011155913978494624,4.875403225806452,179.26209677419354,1019.9731182795699,0.0,27.433333333333334,27.676881720430107,663.0201612903226,45.22728494623656,32.332930107526884,60.93279569892473,58.185483870967744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.77056451612904,15.259811827956987,234,,,0.0920574617898323,-0.6974858324629156
