feature,mean_abs_shap
pollen_score,14.308275336785346
pollution_score,7.04570931536182
weather_risk,4.302425043952381
humidity,1.1989379224384524
grass_pollen,1.1542068395058913
co,0.7707480842328988
dewpoint,0.3896925815846054
mugwort_pollen,0.38259859266679147
temperature,0.36145732250990886
o3,0.2853495478492707
pressure,0.22972576170046916
pm10,0.16617783338357484
winddirection,0.15948775859206307
uv_index,0.15121675313340052
so2,0.13905286753379525
no2,0.13393867221853253
windspeed,0.11029398045273055
hour,0.10985583043274431
pm2_5,0.1022813617157662
ragweed_pollen,0.06004259683873409
european_aqi,0.052903789547230934
olive_pollen,0.04912514181799512
day_of_week,0.026653118162219054
precipitation,0.016847247523505828
birch_pollen,0.010518738193747566
month,0.009599658558636997
alder_pollen,0.0
